question,option1,option2,option3,option4,correct_answer
What is 21 ÷ 3?, 5, 6, 7, 8, 7
What is the result of 8 ÷ 2(2 + 2)?, 1, 4, 8, 16, 1
What is the greatest common factor (GCF) of 12 and 16?, 2, 4, 6, 8, 4
What is the least common multiple (LCM) of 4 and 5?, 10, 20, 15, 25, 20
What is the decimal equivalent of 3/4?, 0.50, 0.75, 1.25, 1, 0.75
What is the area of a triangle with base 4 and height 3?, 6, 8, 10, 12, 6
What is the next number in the sequence: 10, 20, 30, ...?, 35, 40, 50, 60, 40
What is 11 + 14?, 24, 25, 26, 27, 25
What is the value of 2(3 + 5)?, 10, 16, 8, 12, 16
What is 1000 - 450?, 550, 600, 650, 700, 550
What is the product of 12 and 11?, 132, 144, 154, 164, 132
What is 16 ÷ 4?, 2, 4, 6, 8, 4
What is the decimal equivalent of 1/2?, 0.25, 0.50, 0.75, 1, 0.50
What is 33 + 67?, 89, 90, 91, 99, 100
What is the cube of 2?, 4, 6, 8, 12, 8
What is the sum of 10, 20, and 30?, 50, 60, 70, 80, 60
What is the next number in the sequence: 3, 6, 9, ...?, 10, 11, 12, 15, 12
What is 90 - 45?, 45, 40, 50, 55, 45
What is the value of 4 × (3 + 2)?, 16, 20, 12, 14, 20
What is 48 ÷ 6?, 6, 7, 8, 9, 8
What is the sum of the interior angles of a quadrilateral?, 360°, 180°, 270°, 90°, 360°
What is 5 + 5 × 5?, 30, 25, 15, 10, 30
What is the product of 7 and 8?, 50, 56, 58, 64, 56
What is 19 - 7?, 11, 12, 13, 14, 12
What is the area of a circle with radius 3? (Use π ≈ 3.14), 28.26, 27.12, 31.42, 20.88, 28.26
What is the value of 6²?, 30, 36, 42, 48, 36
What is the sum of 1/3 + 1/6?, 1/2, 1/3, 1/4, 1/5, 1/2
What is 60 ÷ 5?, 10, 12, 15, 20, 12
What is the next number in the sequence: 5, 10, 15, ...?, 20, 22, 25, 30, 20
What is 14 + 6?, 18, 20, 22, 25, 20
What is half of 100?, 25, 50, 75, 100, 50
What is the result of 9 - 6 + 2?, 2, 3, 4, 5, 5
What is the perimeter of a triangle with sides 3, 4, and 5?, 11, 12, 13, 14, 12
What is 8 + 2 × 3?, 16, 18, 20, 14, 14
What is the value of 4.5 + 3.5?, 7, 8, 9, 10, 8
What is 100 - 25 × 2?, 50, 75, 80, 50, 50
What is 2/3 + 1/3?, 1, 2/3, 3/3, 1/3, 1
What is the volume of a rectangular prism with length 2, width 3, and height 4?, 24, 20, 18, 12, 24
What is the product of 5, 5, and 2?, 50, 55, 60, 70, 50
What is the difference between 80 and 45?, 30, 35, 40, 45, 35
What is the next number in the sequence: 12, 15, 18, ...?, 19, 20, 21, 24, 21
What is 6 + 8 + 10?, 24, 22, 20, 18, 24
What is the square root of 64?, 6, 7, 8, 9, 8
What is 18 ÷ 2?, 7, 8, 9, 10, 9
What is 100 - 44?, 56, 55, 54, 53, 56
What is 2 × (3 + 4)?, 12, 14, 10, 8, 14
What is the area of a circle with diameter 6? (Use π ≈ 3.14), 28.26, 18.84, 15.18, 18.5, 28.26
What is 16 - 4 × 3?, 4, 8, 12, 16, 4
What is 45% of 200?, 80, 75, 90, 70, 90
What is 50 + 25 ÷ 5?, 55, 60, 62, 65, 55
What is the total of 2.5 + 3.5?, 5, 6, 7, 8, 6
What is the value of 3 × 4 + 5 × 2?, 28, 22, 20, 18, 22
What is 14 ÷ 7?, 1, 2, 3, 4, 2
What is the perimeter of a rectangle with length 5 and width 3?, 16, 18, 20, 22, 16
What is the next number in the sequence: 1, 2, 4, 8, ...?, 10, 12, 14, 16, 16
What is 72 ÷ 9?, 6, 7, 8, 9, 8
What is 7.5 + 2.5?, 10, 11, 12, 13, 10
What is the result of 25 - 5 × 2?, 15, 10, 5, 20, 15
What is the value of 9²?, 81, 72, 64, 56, 81
What is the cube of 3?, 6, 9, 12, 27, 27

